name,achievements,genre,mature_content,original_price,totalComments,posProp,free,discount,multi_player,trading_cards,online,controller,cloud,totalLan,English,Chinese,Russian,Spanish,Portuguese,German,review
Zombie Bloxx,15,Action,False,4.99,12,10,False,Zero,False,False,False,True,False,9,True,True,False,True,True,True,False
Cynoclept: The Game,8,Action,True,0.99,24,45,False,Zero,False,False,False,False,False,1,True,False,False,False,False,False,False
Lily's Night Off,18,Adventure,False,3.99,35,10,False,Zero,False,False,False,False,False,1,True,False,False,False,False,False,False
Forgotten Land,6,Action,False,0.99,51,31,False,Zero,False,False,False,True,False,1,True,False,False,False,False,False,False
ALONE?,14,Action,True,2.99,100,43,False,Zero,False,True,False,True,False,1,True,False,False,False,False,False,False
弾幕アマノジャク 〜 Impossible Spell Card.,0,Action,False,10.99,51,10,False,Zero,False,False,False,True,True,2,True,False,False,False,False,False,False
Immersion Pack - Europa Universalis IV: Third Rome,0,Strategy,False,9.99,195,43,False,Zero,True,True,False,False,True,4,True,False,False,True,False,True,False
The Albatross,7,Action,False,1.99,14,21,False,Zero,False,True,False,False,False,1,True,False,False,False,False,False,False
Tunnel Rats,0,Action,False,19.99,26,34,False,Zero,False,False,False,False,False,2,True,False,False,False,False,False,False
Stonekeep,0,Action,False,9.99,29,10,False,Zero,False,False,False,False,False,1,True,False,False,False,False,False,False
Super Bomberman R,32,Action,False,39.99,108,49,False,Zero,True,False,True,True,False,13,True,True,True,True,True,True,False
Dispatcher,10,Action,False,3.99,601,49,False,Zero,True,True,False,False,False,2,True,False,True,False,False,False,False
Star Rangers™ XE,47,Action,False,11.99,115,33,False,Zero,True,True,True,False,False,1,True,False,False,False,False,False,False
Project of the Developer,0,Action,False,0.99,10,20,False,Zero,False,True,False,False,False,2,True,False,True,False,False,False,False
missed messages - Fan Pack,0,Casual,False,4.99,20,10,False,Zero,False,False,False,False,False,1,True,False,False,False,False,False,False
Dead Alliance™,44,Action,False,24.99,57,29,False,Zero,True,False,True,True,False,6,True,False,False,True,True,True,False
"Gabriel Knight® 3: Blood of the Sacred, Blood of the Damned",0,Adventure,False,1.02,21,47,False,Zero,False,False,False,False,False,1,True,False,False,False,False,False,False
VRtender,5,Action,False,0.99,11,27,False,Zero,False,False,False,False,True,1,True,False,False,False,False,False,False
March to Glory,0,Strategy,False,19.99,19,42,False,Zero,True,False,True,False,False,5,True,False,True,True,False,True,False
Cannons Lasers Rockets,6,Action,False,0.0,533,24,True,Zero,True,False,False,False,False,2,True,False,True,False,False,False,False
GUILTY GEAR,13,Action,False,9.99,11,10,False,Zero,True,False,False,True,False,5,True,True,False,False,False,False,False
